"Item","Total","Missing","Available"
"Black Stained Glass",1078,1078,0
"Observer",355,355,0
"Gray Concrete",324,324,0
"Redstone Dust",210,210,0
"Piston",197,197,0
"Activator Rail",112,112,0
"Redstone Repeater",108,108,0
"Note Block",81,81,0
"Redstone Comparator",81,81,0
"Sticky Piston",63,63,0
"Stone Brick Wall",50,50,0
"Redstone Torch",49,49,0
"Gray Concrete Powder",37,37,0
"Iron Trapdoor",37,37,0
"Dropper",36,36,0
"Light Gray Concrete Powder",35,35,0
"Slime Block",34,34,0
"TNT",32,32,0
"Birch Trapdoor",30,30,0
"Composter",25,25,0
"Gray Glazed Terracotta",22,22,0
"Hopper",22,22,0
"Target",22,22,0
"Quartz Stairs",21,21,0
"Birch Fence Gate",19,19,0
"Black Concrete",19,19,0
"Block of Redstone",19,19,0
"Sea Lantern",19,19,0
"Smooth Stone Slab",19,19,0
"Water Bucket",19,19,0
"Black Concrete Powder",17,17,0
"Blue Concrete Powder",17,17,0
"Brown Concrete Powder",17,17,0
"Cyan Concrete Powder",17,17,0
"Gravel",17,17,0
"Green Concrete Powder",17,17,0
"Light Blue Concrete Powder",17,17,0
"Lime Concrete Powder",17,17,0
"Magenta Concrete Powder",17,17,0
"Orange Concrete Powder",17,17,0
"Pink Concrete Powder",17,17,0
"Purple Concrete Powder",17,17,0
"Red Concrete Powder",17,17,0
"Red Sand",17,17,0
"Sand",17,17,0
"White Concrete Powder",17,17,0
"Yellow Concrete Powder",17,17,0
"Birch Sign",6,6,0
"Iron Door",6,6,0
"Amethyst Cluster",4,4,0
"Birch Fence",4,4,0
"Campfire",4,4,0
"Lever",4,4,0
"Scaffolding",4,4,0
"Black Stained Glass Pane",2,2,0
"Powered Rail",2,2,0
"Redstone Lamp",1,1,0
