"Item","Total","Missing","Available"
"Black Stained Glass",1782,1782,0
"Obsidian",1550,1550,0
"Spruce Log",1256,1256,0
"Observer",479,479,0
"Spruce Trapdoor",451,451,0
"Blue Ice",412,412,0
"Gray Glazed Terracotta",307,307,0
"Polished Deepslate Wall",281,281,0
"Piston",232,232,0
"Sticky Piston",224,224,0
"Polished Deepslate",207,207,0
"Stone Button",203,203,0
"Slime Block",196,196,0
"Hopper",142,142,0
"Honey Block",104,104,0
"Redstone Dust",88,88,1
"Block of Redstone",85,85,0
"Redstone Repeater",75,75,1
"Note Block",74,74,0
"Dropper",63,63,0
"Black Stained Glass Pane",55,55,0
"Iron Trapdoor",54,54,0
"Water Bucket",35,35,0
"Polished Deepslate Stairs",28,28,0
"Composter",22,22,0
"Redstone Comparator",22,22,1
"Chest",17,17,0
"Scaffolding",17,17,0
"Spruce Leaves",16,16,0
"TNT",14,14,0
"White Wool",13,13,0
"Activator Rail",8,8,0
"Cauldron",7,7,0
"Lever",7,7,0
"Melon",7,7,0
"Dispenser",6,6,0
"Redstone Torch",6,6,0
"Podzol",4,4,0
"Polished Deepslate Slab",4,4,0
"Gray Banner",3,3,0
"Detector Rail",2,2,0
"Iron Door",2,2,0
"White Shulker Box",2,2,0
"Redstone Lamp",1,1,0
"Spruce Door",1,1,0
"Spruce Fence Gate",1,1,0
